QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,RequiredAge,DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal
297450,297450,Zombies on a Plane,Zombies on a Plane,Mar 25 2016,0,0,1,3,0,2,2,109,1,25,6457.0,2103.0,5201.0,1887.0,9.0,9.0,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
297470,297470,Xsyon - Prelude,Xsyon - Prelude,Dec 29 2014,0,0,1,0,0,1,1,150,1,20,3408.0,1527.0,2690.0,1357.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,USD,29.99,29.99
297490,297490,Spy Chameleon - RGB Agent,Spy Chameleon - RGB Agent,Jun 11 2014,0,0,1,0,0,1,1,252,1,10,67973.0,6823.0,34256.0,4844.0,30.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,4.99,2.49
297570,297570,Warrior Kings,Warrior Kings,Apr 24 2014,0,0,1,0,73,1,1,0,1,6,11299.0,2782.0,4484.0,1752.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
297590,297590,Monsters Ate My Birthday Cake,Monsters Ate My Birthday Cake,Jul 1 2014,0,0,1,0,0,1,1,0,1,12,2870.0,1402.0,2690.0,1357.0,16.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
297620,297620,Rocko's Quest,Rockos Quest,Apr 24 2014,0,0,1,0,41,1,1,0,1,11,5739.0,1982.0,717.0,701.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
297660,297660,Super Rad Raygun,Super Rad Raygun,Coming November 2016,0,0,1,0,0,1,0,0,2,5,1070.0,1046.0,533.0,1044.0,0.0,0.0,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False, ,0.0,0.0
297720,297720,Corpse of Discovery,Corpse of Discovery,Aug 25 2015,0,0,1,0,49,1,1,138,1,10,12554.0,2932.0,2511.0,1311.0,0.0,0.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
297740,297740,Overruled!,Overruled!,Sep 15 2015,0,0,1,0,0,2,2,0,1,11,42506.0,5396.0,11299.0,2782.0,24.0,10.0,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,12.99,12.99
297750,297750,Close Combat - Gateway to Caen,Close Combat - Gateway to Caen,Jun 6 2014,0,0,1,0,0,1,1,194,1,6,20267.0,3726.0,16859.0,3398.0,0.0,0.0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,39.99,39.99
297760,297760,Qvadriga,Qvadriga,Jun 13 2014,0,0,1,0,72,1,1,159,1,12,25109.0,4147.0,10044.0,2623.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,USD,19.99,19.99
297810,297810,Landmark,Landmark,Jun 10 2016,0,0,1,0,0,1,1,2075,1,10,79452.0,7377.0,74789.0,7157.0,0.0,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,USD,9.99,9.99
297860,297860,Split/Second,Split/Second,Oct 6 2014,0,0,1,0,79,1,3,399,1,5,34076.0,4831.0,25109.0,4147.0,0.0,0.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,USD,19.99,19.99
297920,297920,Space Colony,Space Colony: Steam Edition,Apr 30 2015,0,0,1,0,74,1,1,140,1,12,37305.0,5055.0,24033.0,4057.0,26.0,10.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,14.99,14.99
298020,298020,Escape The Museum,Escape The Museum,Apr 29 2014,0,0,1,0,0,1,1,0,1,10,5380.0,1919.0,1793.0,1108.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
298030,298030,Total Annihilation,Total Annihilation,Dec 18 2015,0,0,1,0,86,1,1,636,1,7,72457.0,7045.0,48424.0,5759.0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99
298050,298050,Master of Orion,Master of Orion,Aug 25 2016,0,0,1,0,74,5,3,2104,1,15,143480.0,9912.0,131822.0,9501.0,102.0,10.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,29.99,29.99
298110,298110,Far Cry 4,Far Cry(r) 4,Nov 2014,17,0,1,5,80,7,2,11878,1,5,813709.0,23585.0,757752.0,22761.0,0.0,0.0,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,39.99,39.99
298140,298140,Rhiannon: Curse of the Four Branches,Rhiannon: Curse of the Four Branches,May 15 2014,0,0,1,0,67,1,1,0,1,8,43223.0,5441.0,4304.0,1717.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,5.99,5.99
298160,298160,Eldevin,Eldevin,Nov 5 2014,13,0,1,2,0,1,0,1166,1,14,341840.0,15296.0,187062.0,11318.0,32.0,10.0,False,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True, ,0.0,0.0
298180,298180,The Desolate Hope,The Desolate Hope,May 5 2014,0,0,1,0,0,2,1,541,1,20,174507.0,10931.0,38560.0,5139.0,0.0,0.0,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False, ,0.0,0.0
298220,298220,Terraformer Expedition to Mars,Terraformer Expedition to Mars,Nov 20 2015,0,0,1,0,0,1,1,0,1,10,1435.0,991.0,1616.0,1290.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,USD,24.99,24.99
298240,298240,Red Crucible: Firestorm,Red Crucible(r): Firestorm,Dec 22 2015,0,0,1,0,0,1,3,5998,1,8,1779865.0,34835.0,1320910.0,30028.0,0.0,0.0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False, ,0.0,0.0
298260,298260,Only If,Only If,Jul 25 2014,18,0,1,0,39,1,0,5511,1,9,1230518.0,28986.0,595979.0,20190.0,10.0,10.0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False, ,0.0,0.0
298280,298280,XenoRaptor,XenoRaptor,Jun 16 2014,0,1,1,0,0,1,2,0,1,16,9147.0,2503.0,7353.0,2244.0,0.0,0.0,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,USD,14.99,14.99
298300,298300,UFO Online,UFO Online: Fight for Earth,Oct 10 2014,0,0,1,0,0,1,0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True, ,0.0,0.0
298340,298340,Flashout 2,FLASHOUT 2,Jun 6 2014,0,0,1,0,0,1,1,179,1,17,29593.0,4502.0,12196.0,2890.0,30.0,10.0,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,USD,4.99,4.99
298360,298360,Immortal Defense,Immortal Defense,Aug 31 2015,0,0,1,0,0,1,1,0,1,6,2870.0,1402.0,1435.0,991.0,40.0,10.0,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
298400,298400,Knightmare Tower,Knightmare Tower,Jun 16 2014,0,0,1,0,0,2,1,350,1,7,17756.0,3487.0,12734.0,2953.0,6.0,6.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,USD,3.99,3.99
298420,298420,Dreii,Dreii,Feb 2 2016,0,0,1,0,0,2,1,0,1,5,0.0,0.0,0.0,0.0,11.0,10.0,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,5.99,5.99
298480,298480,Victory At Sea,Victory At Sea,Aug 8 2014,0,0,1,0,0,1,1,320,1,10,35332.0,4919.0,27620.0,4349.0,23.0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,USD,24.99,24.99
298520,298520,Orbital Gear,Orbital Gear,Aug 7 2014,0,0,1,1,59,1,2,1374,1,16,274226.0,13701.0,183654.0,11214.0,12.0,10.0,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,USD,9.99,9.99
298560,298560,Captain Forever Remix,Captain Forever Remix,Jun 3 2016,0,0,2,1,0,3,1,178,1,17,21163.0,3807.0,19908.0,3693.0,31.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99
298600,298600,Lovely Planet,Lovely Planet,Jul 31 2014,0,0,1,1,61,2,1,1843,1,6,261671.0,13384.0,150116.0,10139.0,14.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,5.99,5.99
298630,298630,The Escapists,The Escapists,Feb 13 2015,0,0,1,5,71,3,2,9920,1,12,900694.0,24810.0,820883.0,23688.0,37.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,USD,17.99,17.99
298790,298790,Rock Boshers DX: Director's Cut,Rock Boshers DX: Directors Cut,Dec 10 2014,0,0,1,0,0,2,1,0,1,15,2511.0,1311.0,1614.0,1051.0,13.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,USD,5.99,5.99
298820,298820,Millennium 2 - Take Me Higher,Millennium 2 - Take Me Higher,Jul 10 2014,0,0,1,1,0,1,2,0,1,22,17576.0,3470.0,6995.0,2189.0,32.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,USD,5.99,5.99
298830,298830,Millennium 3 - Cry Wolf,Millennium 3 - Cry Wolf,Aug 29 2014,0,0,1,1,0,1,2,0,1,16,13451.0,3035.0,4304.0,1717.0,41.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,USD,5.99,5.99
298840,298840,Millennium 4 - Beyond Sunset,Millennium 4 - Beyond Sunset,Sep 19 2014,0,0,1,1,0,1,2,0,1,9,13451.0,3035.0,5022.0,1854.0,43.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,USD,5.99,5.99
298850,298850,Millennium 5 - The Battle of the Millennium,Millennium 5 - The Battle of the Millennium,Nov 7 2014,0,0,1,2,0,1,3,0,1,29,14886.0,3193.0,5919.0,2013.0,40.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,USD,9.99,9.99
298890,298890,Adventure Time: The Secret Of The Nameless Kingdom,Adventure Time: The Secret Of The Nameless Kingdom,Nov 18 2014,0,0,1,0,0,1,1,0,1,7,5919.0,2013.0,4484.0,1752.0,35.0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,USD,4.99,4.99
298900,298900,Space Hulk: Deathwing,Space Hulk - Deathwing,November 2016,0,0,1,0,0,3,1,0,1,9,75147.0,7174.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,39.99,33.99
298930,298930,Darkness Within: In Pursuit of Loath Nolder,Darkness Within 1: In Pursuit of Loath Nolder,Nov 13 2014,0,0,1,1,0,1,1,192,1,15,56674.0,6230.0,17935.0,3505.0,30.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
298950,298950,Darkness Within 2: The Dark Lineage Director's Cut Edition,Darkness Within 2: The Dark Lineage,Dec 5 2014,0,0,1,1,0,1,1,0,1,16,32104.0,4689.0,5022.0,1854.0,38.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
299020,299020,Runaway Express Mystery,Runaway Express Mystery,Sep 23 2014,0,0,1,0,0,1,1,0,1,7,7533.0,2271.0,1081.0,1057.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,6.99,6.99
299030,299030,Blood: One Unit Whole Blood,Blood: One Unit Whole Blood,Jul 14 2014,17,0,1,0,82,1,1,563,1,5,35870.0,4957.0,25288.0,4162.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299050,299050,Blood II: The Chosen + Expansion,Blood II: The Chosen + Expansion,Jul 14 2014,17,0,1,0,72,1,1,139,1,5,17397.0,3452.0,8967.0,2478.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299070,299070,Warrior Kings: Battles,Warrior Kings: Battles,May 6 2014,0,0,1,0,64,1,1,0,1,5,11478.0,2804.0,6457.0,2103.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
299090,299090,Cosplay Maker,Cosplay Maker,Dec 10 2015,0,0,1,0,0,1,1,0,1,5,0.0,0.0,0.0,0.0,11.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,USD,14.99,14.99
299100,299100,Back To Life 2,Back To Life 2,May 6 2014,0,0,1,0,0,4,1,0,1,14,1973.0,1162.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299110,299110,Theatre Of The Absurd,Theatre Of The Absurd,May 8 2014,0,0,1,0,0,1,1,129,1,20,25288.0,4162.0,6457.0,2103.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299150,299150,Empress Of The Deep,Empress Of The Deep,May 8 2014,0,0,1,0,0,1,1,0,1,9,13451.0,3035.0,3228.0,1487.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299160,299160,Empress Of The Deep 2: Song Of The Blue Whale,Empress Of The Deep 2: Song Of The Blue Whale,May 8 2014,0,0,1,0,0,1,1,0,1,20,12375.0,2911.0,2870.0,1402.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299170,299170,Vault Cracker,Vault Cracker,May 15 2014,0,0,1,0,0,1,1,0,1,10,5919.0,2013.0,1077.0,1053.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299180,299180,Millionaire Manor,Millionaire Manor,May 15 2014,0,0,1,0,0,1,1,0,1,6,18473.0,3557.0,3766.0,1606.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
299250,299250,European Ship Simulator,European Ship Simulator,Feb 19 2015,0,0,1,0,0,2,1,422,2,28,34973.0,4894.0,31924.0,4676.0,19.0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,USD,19.99,19.99
299260,299260,Commando Jack,Commando Jack,Aug 22 2014,0,0,1,0,0,1,1,369,1,5,224366.0,12394.0,86088.0,7679.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
299340,299340,Habitat,Habitat,Jan 26 2016,0,0,1,0,0,2,1,181,1,11,24033.0,4057.0,19908.0,3693.0,10.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,USD,14.99,14.99
299360,299360,Block N Load,Block N Load,Apr 30 2015,0,0,2,4,72,2,0,9150,1,7,2169951.0,38443.0,1455243.0,31512.0,64.0,10.0,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True, ,0.0,0.0
299380,299380,Masquerade: The Baubles of Doom,Masquerade: The Baubles of Doom,Apr 20 2016,0,1,1,0,0,1,1,0,1,9,0.0,0.0,0.0,0.0,25.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,USD,14.99,14.99
299420,299420,CubeGun,CubeGun,May 21 2014,0,0,1,0,0,2,0,237,1,5,129490.0,9417.0,60620.0,6444.0,42.0,10.0,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False, ,0.0,0.0
299440,299440,Rooks Keep,Rooks Keep,Dec 5 2014,0,0,1,0,0,1,2,0,1,11,27082.0,4307.0,11299.0,2782.0,27.0,10.0,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,7.99,7.99
299460,299460,Woodle Tree Adventures,Woodle Tree Adventures,Mar 2 2016,0,1,1,0,0,1,1,4691,1,12,664132.0,21311.0,422727.0,17008.0,8.0,8.0,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,USD,2.99,2.99
299480,299480,Rogue Stormers,Rogue Stormers,Apr 21 2016,0,0,1,0,68,1,5,377,1,11,31386.0,4637.0,24571.0,4102.0,44.0,10.0,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,13.99
299500,299500,International Snooker,International Snooker,May 30 2014,0,0,1,0,0,1,1,245,1,20,41968.0,5361.0,14707.0,3174.0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,USD,12.99,12.99
299540,299540,Heroes Rise: The Prodigy,Heroes Rise: The Prodigy,Jun 17 2014,0,1,1,1,0,1,1,309,1,5,24392.0,4087.0,20805.0,3775.0,17.0,10.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,USD,2.99,2.99
299580,299580,Abducted,Abducted,Jul 28 2015,0,0,1,0,0,1,1,0,1,6,13631.0,3055.0,1435.0,991.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,USD,5.99,5.99
299600,299600,Dragon Fin Soup,Dragon Fin Soup,Nov 3 2015,0,0,1,0,0,3,1,195,1,22,19728.0,3676.0,10582.0,2692.0,0.0,0.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,USD,19.99,19.99
299660,299660,6180 the moon,6180 the moon,Sep 19 2014,0,0,2,1,0,1,2,349,1,12,19370.0,3642.0,14348.0,3135.0,16.0,10.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,3.99,3.99
299680,299680,Tengami,Tengami,Jan 15 2015,0,0,1,0,57,2,1,905,1,6,56674.0,6230.0,22239.0,3903.0,4.0,4.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,USD,9.99,9.99
299720,299720,Terrorhedron,Terrorhedron,Jul 24 2014,0,0,1,0,0,1,1,855,1,5,147067.0,10036.0,103485.0,8419.0,47.0,10.0,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,USD,1.99,1.99
